class labels,features,ngrams,num_comp,classifier,measure,value
google,numoc,tri,all,Nearest Neighbors,Recall,0.4761904762
my,numoc,bi,all,Decision Tree,Score,0.2698412698
my,tfidf,bi,400,Decision Tree,Score,0.3253968254
google,tfidf,uni,10,Random Forest,Recall,0.4761904762
google,tfidf,tri,200,Linear SVM,Recall,0.4365079365
my,numoc,tri,all,Decision Tree,Precision,0.0728143109
google,tfidf,bi,10,Random Forest,Score,0.5079365079
my,tfidf,all,300,Random Forest,Precision,0.2173382173
google,justc,uni,all,AdaBoost,Precision,0.3665486765
my,tfidf,tri,10,Neural Net,Recall,0.373015873
my,tfidf,bi,100,Decision Tree,Precision,0.3148022938
google,tfidf,tri,400,Neural Net,Fscore,0.4444217502
google,tfidf,uni,10,Nearest Neighbors,Fscore,0.4550460513
google,tfidf,all,100,AdaBoost,Score,0.4841269841
my,tfidf,quad,200,Logistic Regression,Recall,0.4206349206
google,justc,tri,all,AdaBoost,Score,0.4761904762
my,tfidf,bi,200,Logistic Regression,Fscore,0.4593861282
google,tfidf,bi,400,AdaBoost,Score,0.5079365079
google,tfidf,bi,10,Naive Bayes,Precision,0.2316375354
google,justc,uni,all,Random Forest,Recall,0.4761904762
my,justc,tri,all,Naive Bayes,Score,0.2698412698
my,tfidf,tri,10,RBF SVM,Score,0.380952381
google,tfidf,tri,400,RBF SVM,Fscore,0.3511177595
my,tfidf,all,10,Neural Net,Fscore,0.3914210808
google,tfidf,quad,400,RBF SVM,Recall,0.5158730159
my,tfidf,tri,200,RBF SVM,Score,0.2222222222
google,tfidf,quad,10,Nearest Neighbors,Score,0.5158730159
my,numoc,tri,all,Random Forest,Precision,0.0728143109
my,tfidf,bi,400,Logistic Regression,Fscore,0.4194042762
my,tfidf,uni,100,Naive Bayes,Fscore,0.318499998
google,tfidf,uni,100,Naive Bayes,Score,0.0952380952
my,tfidf,all,100,Linear SVM,Recall,0.4841269841
my,numoc,uni,all,Naive Bayes,Recall,0.0873015873
google,tfidf,quad,400,Naive Bayes,Precision,0.2641269841
google,tfidf,bi,100,Dummy,Recall,0.5158730159
google,tfidf,uni,10,Naive Bayes,Fscore,0.2633418563
my,tfidf,all,100,Nearest Neighbors,Precision,0.4199463444
google,tfidf,bi,100,Naive Bayes,Precision,0.2931104655
google,justc,uni,all,Dummy,Recall,0.4761904762
my,justc,tri,all,AdaBoost,Fscore,0.1146825397
